ssn,age,education,marital-status,relationship,sex,income
708-70-8708,33.0,HS-grad,Married-civ-spouse,Husband,,>50K
136-13-6136,57.0,,Married-civ-spouse,Husband,Male,
502-50-2502,43.0,,Married-civ-spouse,Husband,Male,<=50K
703-70-3703,17.0,HS-grad,Separated,Own-child,Male,<=50K
582-58-2582,51.0,,Married-civ-spouse,Husband,Male,<=50K
868-86-8868,63.0,,Married-civ-spouse,Husband,,
128-12-8128,35.0,,Married-civ-spouse,Husband,,
189-18-9189,52.0,9th,Married-civ-spouse,,Male,>50K
564-56-4564,60.0,HS-grad,,Husband,,<=50K
836-83-6836,36.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
574-57-4574,32.0,Some-college,Never-married,,Male,
408-40-8408,29.0,,,,,
692-69-2692,23.0,HS-grad,Never-married,Not-in-family,Male,
230-23-0230,,Some-college,,Husband,,
199-19-9199,44.0,,,Husband,Male,>50K
819-81-9819,50.0,1st-4th,Separated,Unmarried,,
722-72-2722,30.0,,Never-married,Not-in-family,Male,>50K
030-03-0030,36.0,HS-grad,,,,>50K
729-72-9729,50.0,,,Husband,Male,<=50K
244-24-4244,56.0,1st-4th,Married-civ-spouse,Husband,,
949-94-9949,67.0,,Divorced,Not-in-family,Female,<=50K
210-21-0210,39.0,Some-college,Married-civ-spouse,Husband,,>50K
671-67-1671,26.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
771-77-1771,40.0,Some-college,Married-civ-spouse,Husband,Male,
201-20-1201,37.0,Bachelors,Married-civ-spouse,,Male,>50K
303-30-3303,42.0,,Never-married,Not-in-family,,<=50K
047-04-7047,30.0,HS-grad,Married-civ-spouse,,,
229-22-9229,42.0,HS-grad,,Unmarried,Female,>50K
096-09-6096,59.0,,,,Male,<=50K
569-56-9569,33.0,Some-college,Never-married,Not-in-family,,<=50K
373-37-3373,,HS-grad,Married-civ-spouse,Husband,Male,
998-99-8998,34.0,Some-college,Never-married,Other-relative,Male,
403-40-3403,22.0,,,Own-child,,<=50K
716-71-6716,39.0,HS-grad,Married-civ-spouse,Husband,Male,
160-16-0160,27.0,Bachelors,Never-married,Own-child,,
180-18-0180,41.0,,Married-civ-spouse,,Male,>50K
105-10-5105,38.0,,Married-civ-spouse,Husband,Male,
519-51-9519,,,Married-civ-spouse,Husband,Male,>50K
761-76-1761,43.0,Assoc-acdm,Married-civ-spouse,,Male,<=50K
022-02-2022,42.0,,Never-married,Own-child,Male,<=50K
115-11-5115,53.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
906-90-6906,31.0,HS-grad,Married-civ-spouse,,Male,>50K
465-46-5465,42.0,,Never-married,Unmarried,Male,<=50K
967-96-7967,,,Separated,Other-relative,Female,
664-66-4664,41.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
181-18-1181,38.0,,,,Female,<=50K
780-78-0780,44.0,Bachelors,,Unmarried,Female,<=50K
760-76-0760,42.0,,Divorced,,,
576-57-6576,29.0,,Married-civ-spouse,Husband,Male,>50K
227-22-7227,64.0,HS-grad,Married-civ-spouse,,Female,<=50K
167-16-7167,30.0,Bachelors,Divorced,Not-in-family,,
074-07-4074,60.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
926-92-6926,44.0,Some-college,Separated,Not-in-family,,<=50K
178-17-8178,,11th,Never-married,,Male,<=50K
642-64-2642,20.0,,Never-married,,Male,
202-20-2202,17.0,Some-college,Never-married,Own-child,,
024-02-4024,43.0,Some-college,Married-civ-spouse,,,<=50K
530-53-0530,57.0,,Married-civ-spouse,Husband,,>50K
905-90-5905,,11th,Never-married,,,<=50K
221-22-1221,59.0,Masters,,Husband,Male,<=50K
209-20-9209,24.0,,Never-married,,Male,<=50K
223-22-3223,,HS-grad,Married-civ-spouse,Husband,,
439-43-9439,35.0,Some-college,Divorced,Not-in-family,Male,
186-18-6186,71.0,Bachelors,Never-married,Not-in-family,Male,<=50K
491-49-1491,34.0,Assoc-voc,Divorced,,Female,<=50K
984-98-4984,32.0,,Married-civ-spouse,,Male,
601-60-1601,25.0,Bachelors,Never-married,,,
617-61-7617,24.0,Bachelors,,Own-child,Male,
182-18-2182,,Assoc-voc,Divorced,Unmarried,Female,
924-92-4924,31.0,Some-college,Married-civ-spouse,Wife,Female,<=50K
942-94-2942,53.0,HS-grad,Divorced,Unmarried,Female,
742-74-2742,45.0,Some-college,Married-civ-spouse,Wife,Female,
267-26-7267,51.0,Assoc-voc,Never-married,Not-in-family,,
800-80-0800,33.0,Some-college,Married-civ-spouse,Husband,Male,>50K
522-52-2522,28.0,,Married-civ-spouse,Husband,,>50K
372-37-2372,55.0,Bachelors,Married-civ-spouse,Husband,,<=50K
804-80-4804,19.0,Some-college,Never-married,Not-in-family,Male,
934-93-4934,35.0,,Never-married,Not-in-family,Male,
821-82-1821,20.0,11th,Never-married,Own-child,,<=50K
921-92-1921,40.0,,,Unmarried,,<=50K
739-73-9739,39.0,Some-college,Divorced,Unmarried,,>50K
916-91-6916,23.0,Some-college,Never-married,Own-child,Male,
177-17-7177,34.0,Masters,Never-married,Not-in-family,Male,<=50K
702-70-2702,17.0,11th,Never-married,Own-child,Female,<=50K
396-39-6396,,HS-grad,,,Female,
867-86-7867,51.0,,Divorced,Other-relative,Male,<=50K
874-87-4874,27.0,Some-college,Never-married,,Female,<=50K
788-78-8788,43.0,Assoc-voc,,Husband,Male,
544-54-4544,,Assoc-acdm,Never-married,Not-in-family,,<=50K
508-50-8508,50.0,HS-grad,Married-civ-spouse,,,>50K
001-00-1001,53.0,Some-college,,Unmarried,,
936-93-6936,49.0,Bachelors,Divorced,Not-in-family,Male,
828-82-8828,43.0,Some-college,Married-civ-spouse,Wife,Female,<=50K
414-41-4414,17.0,12th,Never-married,Own-child,,
711-71-1711,22.0,,Never-married,Own-child,,
055-05-5055,46.0,,Divorced,Not-in-family,Male,
504-50-4504,58.0,7th-8th,Married-civ-spouse,,Male,
919-91-9919,35.0,,Married-civ-spouse,,Male,<=50K
643-64-3643,21.0,Some-college,Never-married,Own-child,Female,<=50K
494-49-4494,42.0,,,,Male,<=50K
911-91-1911,17.0,11th,Never-married,,Male,<=50K
918-91-8918,53.0,Assoc-voc,Married-civ-spouse,,Male,
590-59-0590,32.0,Some-college,,Wife,Female,<=50K
675-67-5675,21.0,,,Other-relative,Male,>50K
540-54-0540,23.0,Some-college,Never-married,,,
640-64-0640,39.0,HS-grad,,Not-in-family,,<=50K
237-23-7237,32.0,Assoc-voc,Never-married,,,<=50K
179-17-9179,,Assoc-acdm,,Own-child,,<=50K
400-40-0400,17.0,HS-grad,,Unmarried,Female,<=50K
038-03-8038,18.0,,,,Male,
987-98-7987,32.0,HS-grad,,Own-child,Female,
086-08-6086,45.0,,Divorced,Unmarried,,<=50K
632-63-2632,42.0,Bachelors,Married-civ-spouse,,Male,
749-74-9749,32.0,Assoc-acdm,Married-civ-spouse,Husband,,
065-06-5065,32.0,Bachelors,,,Male,<=50K
093-09-3093,33.0,,Married-civ-spouse,Husband,,>50K
766-76-6766,39.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
611-61-1611,39.0,HS-grad,,Unmarried,Male,<=50K
421-42-1421,64.0,,Married-civ-spouse,Husband,Male,>50K
803-80-3803,37.0,Assoc-acdm,,Husband,Male,<=50K
847-84-7847,,,Married-civ-spouse,,,>50K
974-97-4974,19.0,10th,Never-married,Not-in-family,Male,
084-08-4084,58.0,Masters,Married-civ-spouse,,,
732-73-2732,64.0,,Divorced,Not-in-family,Male,<=50K
217-21-7217,20.0,HS-grad,Never-married,,Female,<=50K
621-62-1621,41.0,10th,Married-civ-spouse,,,<=50K
512-51-2512,,Bachelors,Divorced,Not-in-family,,<=50K
450-45-0450,43.0,,Divorced,,,
741-74-1741,43.0,,Divorced,,,
025-02-5025,54.0,,,Not-in-family,,<=50K
787-78-7787,37.0,,Separated,Not-in-family,Male,
625-62-5625,47.0,11th,,Husband,Male,>50K
850-85-0850,35.0,Assoc-voc,Never-married,Not-in-family,Male,<=50K
505-50-5505,24.0,HS-grad,Never-married,Not-in-family,Female,
423-42-3423,45.0,,Married-civ-spouse,Husband,,
776-77-6776,47.0,,,Husband,,>50K
422-42-2422,25.0,5th-6th,Married-civ-spouse,Husband,Male,<=50K
399-39-9399,56.0,,Married-spouse-absent,Not-in-family,Female,<=50K
145-14-5145,22.0,Masters,Married-civ-spouse,,Male,
848-84-8848,33.0,Prof-school,,Not-in-family,,<=50K
923-92-3923,43.0,,Married-civ-spouse,Husband,Male,
184-18-4184,50.0,,Married-civ-spouse,Husband,,
613-61-3613,17.0,,Never-married,Not-in-family,Male,
872-87-2872,32.0,,Divorced,Not-in-family,,
993-99-3993,32.0,HS-grad,Never-married,Not-in-family,,<=50K
509-50-9509,22.0,,Never-married,Own-child,,<=50K
305-30-5305,52.0,HS-grad,Married-civ-spouse,,Male,<=50K
112-11-2112,45.0,,Married-civ-spouse,Husband,,
159-15-9159,21.0,Some-college,Never-married,Own-child,,
188-18-8188,48.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
449-44-9449,34.0,12th,Married-civ-spouse,Husband,,<=50K
436-43-6436,28.0,,Married-civ-spouse,Wife,Female,
334-33-4334,41.0,Masters,,Not-in-family,,<=50K
523-52-3523,62.0,Some-college,Married-civ-spouse,Husband,,<=50K
683-68-3683,39.0,,Divorced,Not-in-family,Male,
592-59-2592,46.0,9th,Married-civ-spouse,Husband,,<=50K
050-05-0050,,Some-college,Never-married,Own-child,Male,
437-43-7437,18.0,,Never-married,,Male,<=50K
406-40-6406,55.0,,Married-civ-spouse,Husband,Male,
051-05-1051,27.0,Bachelors,,Own-child,Male,
552-55-2552,,HS-grad,Married-civ-spouse,Husband,,<=50K
433-43-3433,44.0,,Never-married,Not-in-family,,<=50K
622-62-2622,29.0,Bachelors,Never-married,Unmarried,,
117-11-7117,36.0,HS-grad,,Unmarried,Female,<=50K
781-78-1781,70.0,,,Husband,,
878-87-8878,28.0,,,Husband,,>50K
066-06-6066,49.0,HS-grad,Widowed,Unmarried,Female,
164-16-4164,18.0,,Never-married,,Male,
139-13-9139,41.0,Masters,Married-civ-spouse,Husband,Male,>50K
027-02-7027,41.0,Doctorate,Married-civ-spouse,Wife,Female,<=50K
937-93-7937,,Bachelors,Divorced,,Male,<=50K
011-01-1011,35.0,HS-grad,Married-civ-spouse,,Male,
980-98-0980,41.0,Assoc-acdm,Married-civ-spouse,Wife,Female,<=50K
100-10-0100,,Some-college,Never-married,Own-child,,
493-49-3493,84.0,HS-grad,Widowed,Not-in-family,Female,<=50K
389-38-9389,78.0,HS-grad,,Husband,,
458-45-8458,30.0,7th-8th,Married-civ-spouse,,Male,<=50K
891-89-1891,69.0,9th,Married-civ-spouse,Husband,,<=50K
707-70-7707,19.0,,Never-married,Own-child,Male,<=50K
392-39-2392,42.0,Some-college,Separated,,Female,<=50K
679-67-9679,21.0,5th-6th,,Own-child,Female,<=50K
255-25-5255,44.0,7th-8th,,Husband,Male,<=50K
812-81-2812,23.0,Assoc-voc,,Husband,Male,
445-44-5445,22.0,,Married-civ-spouse,Husband,Male,
913-91-3913,25.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
419-41-9419,24.0,Bachelors,Married-civ-spouse,Other-relative,Male,
586-58-6586,49.0,,Never-married,Own-child,Female,<=50K
143-14-3143,19.0,Some-college,Never-married,Own-child,,
977-97-7977,46.0,Bachelors,,,Female,
855-85-5855,44.0,Some-college,Divorced,Not-in-family,Male,
915-91-5915,23.0,,Never-married,Own-child,,<=50K
822-82-2822,19.0,Some-college,Never-married,Own-child,,<=50K
653-65-3653,48.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
898-89-8898,36.0,HS-grad,Married-civ-spouse,Husband,,<=50K
258-25-8258,41.0,,,Own-child,Female,<=50K
171-17-1171,19.0,HS-grad,Divorced,Not-in-family,Male,
961-96-1961,63.0,Bachelors,Married-spouse-absent,,,
365-36-5365,34.0,HS-grad,Married-civ-spouse,Husband,,>50K
515-51-5515,,,Married-civ-spouse,,Male,
261-26-1261,40.0,Assoc-acdm,,Husband,Male,
404-40-4404,38.0,11th,Married-civ-spouse,Husband,,
764-76-4764,29.0,,,,Female,
507-50-7507,39.0,,Married-civ-spouse,Husband,,>50K
380-38-0380,54.0,Some-college,Married-civ-spouse,Husband,Male,
384-38-4384,49.0,Masters,Married-civ-spouse,Husband,Male,
193-19-3193,39.0,,Married-civ-spouse,Wife,Female,
745-74-5745,22.0,Some-college,Never-married,Own-child,Female,
834-83-4834,30.0,,Married-civ-spouse,Own-child,Female,>50K
684-68-4684,30.0,HS-grad,Never-married,Own-child,Male,>50K
796-79-6796,44.0,Doctorate,Never-married,Not-in-family,,>50K
386-38-6386,54.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
412-41-2412,40.0,Bachelors,Married-civ-spouse,Wife,Female,
026-02-6026,18.0,12th,Never-married,Not-in-family,Female,<=50K
837-83-7837,38.0,HS-grad,Divorced,Unmarried,,<=50K
901-90-1901,50.0,Bachelors,,,Male,
174-17-4174,45.0,,Never-married,,,<=50K
594-59-4594,28.0,Some-college,Never-married,,Female,
939-93-9939,31.0,,Never-married,Not-in-family,Female,
205-20-5205,58.0,11th,Married-civ-spouse,Husband,Male,
718-71-8718,62.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
343-34-3343,63.0,Assoc-voc,Married-civ-spouse,Husband,,<=50K
163-16-3163,51.0,,Married-civ-spouse,Wife,Female,<=50K
982-98-2982,31.0,,Divorced,Not-in-family,Female,
890-89-0890,29.0,,Separated,,,<=50K
853-85-3853,,Some-college,Married-civ-spouse,,,
397-39-7397,29.0,Bachelors,Never-married,Other-relative,,
266-26-6266,18.0,Some-college,Never-married,,,
220-22-0220,37.0,HS-grad,Never-married,,Male,
368-36-8368,52.0,,,Not-in-family,Male,
353-35-3353,38.0,,Divorced,Not-in-family,Female,
897-89-7897,55.0,Preschool,,Husband,,
566-56-6566,33.0,Assoc-voc,Divorced,,,<=50K
637-63-7637,23.0,Some-college,Never-married,Own-child,,
277-27-7277,40.0,Some-college,Married-civ-spouse,Husband,,
120-12-0120,20.0,Some-college,Never-married,Not-in-family,Male,
307-30-7307,38.0,,Married-civ-spouse,,,
498-49-8498,40.0,HS-grad,Married-civ-spouse,Husband,,
109-10-9109,44.0,Assoc-acdm,Divorced,Unmarried,Female,<=50K
153-15-3153,27.0,,Never-married,Not-in-family,Male,
468-46-8468,43.0,HS-grad,,Husband,,<=50K
169-16-9169,,Some-college,Married-civ-spouse,Husband,Male,<=50K
395-39-5395,38.0,,Married-civ-spouse,,,<=50K
538-53-8538,37.0,Assoc-acdm,Divorced,Unmarried,Female,
448-44-8448,45.0,,Divorced,Not-in-family,,
257-25-7257,32.0,HS-grad,Married-civ-spouse,,Male,>50K
677-67-7677,30.0,HS-grad,Divorced,,Female,<=50K
009-00-9009,51.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
350-35-0350,37.0,Some-college,Divorced,Not-in-family,Female,<=50K
078-07-8078,29.0,,Divorced,,Female,
783-78-3783,73.0,HS-grad,,Not-in-family,Female,
462-46-2462,30.0,,Married-civ-spouse,Husband,,>50K
081-08-1081,33.0,Bachelors,Never-married,Own-child,Female,<=50K
344-34-4344,60.0,HS-grad,Widowed,Not-in-family,Female,
268-26-8268,28.0,Some-college,Married-civ-spouse,Wife,Female,
644-64-4644,44.0,Bachelors,Married-civ-spouse,Husband,Male,
233-23-3233,42.0,Some-college,Married-civ-spouse,Husband,,>50K
838-83-8838,,Masters,Married-civ-spouse,Husband,Male,<=50K
928-92-8928,24.0,Some-college,Never-married,Own-child,Female,<=50K
087-08-7087,23.0,HS-grad,Married-civ-spouse,Husband,Male,
914-91-4914,,Some-college,Widowed,Other-relative,Female,
962-96-2962,61.0,Some-college,Separated,Not-in-family,,<=50K
895-89-5895,41.0,HS-grad,,,Female,
097-09-7097,75.0,1st-4th,Divorced,,,
140-14-0140,,Assoc-voc,,Husband,Male,<=50K
289-28-9289,39.0,Some-college,Married-civ-spouse,Wife,,>50K
596-59-6596,19.0,Some-college,,,Female,<=50K
791-79-1791,,Bachelors,Never-married,,Male,<=50K
252-25-2252,39.0,Bachelors,,Husband,Male,<=50K
183-18-3183,49.0,HS-grad,Widowed,Not-in-family,,
149-14-9149,49.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
142-14-2142,,Assoc-voc,Never-married,,,
990-99-0990,45.0,,Married-civ-spouse,,Male,
806-80-6806,56.0,,Married-civ-spouse,Husband,Male,
831-83-1831,35.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
280-28-0280,21.0,HS-grad,Never-married,Not-in-family,,
866-86-6866,23.0,9th,Never-married,Not-in-family,Male,
434-43-4434,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
328-32-8328,32.0,,Never-married,Other-relative,Male,<=50K
567-56-7567,68.0,,Married-civ-spouse,Husband,Male,<=50K
310-31-0310,,Some-college,Married-civ-spouse,Husband,Male,
479-47-9479,52.0,Some-college,Divorced,Unmarried,,
774-77-4774,34.0,HS-grad,,Not-in-family,Male,<=50K
887-88-7887,65.0,,Divorced,Not-in-family,Female,
792-79-2792,23.0,Assoc-acdm,Married-civ-spouse,Husband,Male,>50K
456-45-6456,25.0,Masters,Never-married,Not-in-family,Male,
130-13-0130,36.0,,Divorced,Unmarried,Male,>50K
627-62-7627,22.0,,,Own-child,Female,<=50K
141-14-1141,,Some-college,Never-married,,Female,
609-60-9609,36.0,,,Husband,,<=50K
797-79-7797,29.0,HS-grad,Never-married,Unmarried,,<=50K
957-95-7957,48.0,HS-grad,Married-civ-spouse,Husband,Male,
218-21-8218,,,Never-married,Own-child,Female,<=50K
651-65-1651,20.0,HS-grad,,Own-child,Male,>50K
531-53-1531,19.0,11th,Never-married,,Female,<=50K
276-27-6276,37.0,Doctorate,Married-civ-spouse,Husband,,
304-30-4304,52.0,Assoc-voc,,,Male,
347-34-7347,66.0,11th,Married-civ-spouse,Husband,,<=50K
215-21-5215,43.0,Bachelors,Divorced,,,>50K
052-05-2052,53.0,,Married-civ-spouse,Husband,,
281-28-1281,70.0,Some-college,Married-civ-spouse,,Male,
300-30-0300,60.0,HS-grad,,Husband,Male,
075-07-5075,51.0,7th-8th,Married-civ-spouse,,,<=50K
152-15-2152,45.0,,Married-civ-spouse,Husband,Male,<=50K
602-60-2602,29.0,5th-6th,Married-civ-spouse,Husband,Male,
068-06-8068,25.0,,,Wife,,
678-67-8678,21.0,HS-grad,,Own-child,Female,
960-96-0960,46.0,HS-grad,,Husband,,
556-55-6556,67.0,Bachelors,Married-civ-spouse,,,>50K
057-05-7057,50.0,Prof-school,,Husband,Male,<=50K
028-02-8028,59.0,Some-college,,Husband,Male,>50K
231-23-1231,25.0,Assoc-voc,Never-married,Not-in-family,Male,<=50K
176-17-6176,32.0,HS-grad,Married-civ-spouse,,,
308-30-8308,54.0,,Married-civ-spouse,Wife,Female,
192-19-2192,43.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
240-24-0240,45.0,Bachelors,,Own-child,,<=50K
873-87-3873,50.0,7th-8th,Married-civ-spouse,Husband,Male,<=50K
529-52-9529,,,Married-civ-spouse,Husband,Male,
581-58-1581,30.0,,Never-married,,Female,
348-34-8348,74.0,Assoc-voc,Widowed,Not-in-family,Female,<=50K
298-29-8298,41.0,Prof-school,,,Female,
432-43-2432,48.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
254-25-4254,55.0,HS-grad,Married-civ-spouse,,Female,<=50K
099-09-9099,24.0,Assoc-acdm,,Own-child,Male,
695-69-5695,44.0,,,Unmarried,,
835-83-5835,,,Divorced,Unmarried,,
317-31-7317,,5th-6th,Married-civ-spouse,,Male,<=50K
405-40-5405,,,Married-civ-spouse,Husband,,>50K
137-13-7137,41.0,10th,Divorced,Not-in-family,Male,<=50K
330-33-0330,,,Married-civ-spouse,Husband,,
251-25-1251,38.0,HS-grad,Married-civ-spouse,,Male,>50K
351-35-1351,,Bachelors,Never-married,Not-in-family,,
224-22-4224,52.0,,Married-civ-spouse,Husband,,<=50K
810-81-0810,28.0,Bachelors,Never-married,Not-in-family,,
945-94-5945,46.0,Bachelors,Married-civ-spouse,Husband,,
114-11-4114,42.0,,,Not-in-family,Female,<=50K
649-64-9649,20.0,Some-college,,Own-child,Female,
546-54-6546,45.0,,Married-civ-spouse,Husband,,<=50K
041-04-1041,74.0,,Married-civ-spouse,Husband,,<=50K
786-78-6786,27.0,HS-grad,Married-civ-spouse,Husband,,<=50K
003-00-3003,21.0,HS-grad,Never-married,Own-child,Female,
370-37-0370,,Some-college,Divorced,Not-in-family,,<=50K
401-40-1401,,Bachelors,Never-married,Not-in-family,,<=50K
318-31-8318,29.0,,Married-civ-spouse,Husband,,<=50K
662-66-2662,28.0,HS-grad,Married-civ-spouse,Husband,,<=50K
789-78-9789,50.0,Some-college,,Husband,Male,>50K
102-10-2102,32.0,,Never-married,Own-child,,
239-23-9239,23.0,Some-college,,,Male,
226-22-6226,54.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
931-93-1931,38.0,HS-grad,,Wife,Female,<=50K
165-16-5165,,Some-college,Widowed,,,<=50K
541-54-1541,41.0,,Married-civ-spouse,Husband,,
388-38-8388,21.0,Some-college,Never-married,Own-child,,
309-30-9309,51.0,,Married-civ-spouse,Husband,,
489-48-9489,39.0,,,,Male,<=50K
360-36-0360,55.0,HS-grad,Married-civ-spouse,Other-relative,,
416-41-6416,47.0,,Married-civ-spouse,Husband,Male,
726-72-6726,39.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
815-81-5815,46.0,,Married-civ-spouse,Husband,Male,>50K
501-50-1501,53.0,HS-grad,Separated,,,<=50K
559-55-9559,40.0,,Never-married,Unmarried,,
107-10-7107,22.0,7th-8th,Never-married,,,
059-05-9059,44.0,Bachelors,Divorced,Unmarried,,<=50K
411-41-1411,50.0,Doctorate,Married-civ-spouse,Husband,,
442-44-2442,32.0,,Divorced,,Female,<=50K
829-82-9829,,Some-college,Married-civ-spouse,Husband,,<=50K
103-10-3103,40.0,Bachelors,,Husband,,
194-19-4194,47.0,,Married-civ-spouse,Husband,Male,
785-78-5785,30.0,Some-college,,Husband,,
049-04-9049,47.0,,,Husband,Male,<=50K
393-39-3393,29.0,,Married-civ-spouse,Wife,Female,
472-47-2472,30.0,,Never-married,,Male,
430-43-0430,53.0,Doctorate,Married-civ-spouse,,Male,
339-33-9339,22.0,Some-college,Never-married,,Male,
060-06-0060,24.0,HS-grad,Never-married,Not-in-family,Female,
941-94-1941,29.0,,,,Female,<=50K
570-57-0570,44.0,Bachelors,Never-married,Not-in-family,Female,
920-92-0920,67.0,Some-college,,,Male,
020-02-0020,,,Divorced,Not-in-family,Female,<=50K
302-30-2302,46.0,,Married-civ-spouse,Husband,Male,
158-15-8158,20.0,11th,Never-married,Own-child,Female,>50K
053-05-3053,39.0,9th,Married-civ-spouse,,,<=50K
260-26-0260,30.0,HS-grad,Married-civ-spouse,Husband,,<=50K
734-73-4734,,HS-grad,Married-civ-spouse,Husband,Male,
212-21-2212,71.0,,,Husband,,<=50K
216-21-6216,54.0,,Married-spouse-absent,,,<=50K
763-76-3763,27.0,,,Own-child,,
446-44-6446,24.0,,Never-married,Own-child,Female,<=50K
976-97-6976,44.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
736-73-6736,58.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
728-72-8728,21.0,Bachelors,Never-married,Not-in-family,Male,
694-69-4694,47.0,HS-grad,,Not-in-family,,<=50K
978-97-8978,38.0,9th,Separated,Not-in-family,Female,<=50K
106-10-6106,29.0,11th,Divorced,Unmarried,Female,<=50K
010-01-0010,31.0,Bachelors,Never-married,Not-in-family,,<=50K
245-24-5245,41.0,,,Husband,,
667-66-7667,17.0,Some-college,Never-married,,Female,
207-20-7207,26.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
772-77-2772,20.0,11th,Never-married,Not-in-family,,
474-47-4474,42.0,,Married-civ-spouse,Husband,Male,>50K
688-68-8688,35.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
294-29-4294,76.0,7th-8th,,Husband,Male,
299-29-9299,30.0,Bachelors,,,Female,<=50K
361-36-1361,36.0,Bachelors,Married-civ-spouse,,Male,
735-73-5735,,HS-grad,Married-civ-spouse,,Male,>50K
234-23-4234,20.0,11th,Never-married,Other-relative,,
805-80-5805,46.0,,,Husband,,>50K
312-31-2312,40.0,,Married-civ-spouse,Wife,,<=50K
902-90-2902,37.0,,Married-civ-spouse,Husband,,<=50K
840-84-0840,,Some-college,,,Male,>50K
747-74-7747,48.0,,Never-married,Not-in-family,Male,
802-80-2802,47.0,Some-college,,Husband,,
156-15-6156,59.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
856-85-6856,25.0,,Never-married,,Female,
893-89-3893,51.0,HS-grad,Married-civ-spouse,Husband,Male,
981-98-1981,44.0,Some-college,Married-civ-spouse,Wife,Female,
991-99-1991,41.0,,Married-civ-spouse,Husband,Male,
146-14-6146,23.0,Some-college,Married-civ-spouse,Husband,,<=50K
320-32-0320,36.0,,Married-civ-spouse,,Male,
714-71-4714,21.0,7th-8th,,Not-in-family,,<=50K
676-67-6676,,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
324-32-4324,17.0,11th,Never-married,Not-in-family,Male,
619-61-9619,31.0,Some-college,Married-civ-spouse,Wife,Female,>50K
929-92-9929,,Some-college,Never-married,Not-in-family,,<=50K
496-49-6496,83.0,,Widowed,Unmarried,Female,
561-56-1561,60.0,Doctorate,,Husband,Male,
297-29-7297,,,Married-civ-spouse,Husband,Male,>50K
362-36-2362,65.0,,Widowed,Unmarried,Male,<=50K
946-94-6946,40.0,HS-grad,Separated,,Female,
394-39-4394,31.0,,Married-civ-spouse,,Male,<=50K
875-87-5875,45.0,,,Husband,,<=50K
770-77-0770,42.0,Assoc-voc,Married-civ-spouse,,Male,>50K
782-78-2782,26.0,10th,Never-married,,Male,<=50K
851-85-1851,,HS-grad,Married-civ-spouse,Husband,Male,>50K
560-56-0560,46.0,HS-grad,Never-married,Not-in-family,Male,<=50K
583-58-3583,,,Never-married,,Male,
327-32-7327,17.0,,Never-married,,,
645-64-5645,,HS-grad,,Own-child,Female,>50K
591-59-1591,23.0,Assoc-acdm,Never-married,,Male,
379-37-9379,39.0,,Married-civ-spouse,,Female,
319-31-9319,56.0,HS-grad,Married-civ-spouse,,Female,
190-19-0190,29.0,Masters,,Husband,Male,
338-33-8338,34.0,HS-grad,Married-civ-spouse,Husband,,<=50K
122-12-2122,27.0,,Married-civ-spouse,Husband,Male,>50K
659-65-9659,45.0,,Divorced,Not-in-family,Male,<=50K
700-70-0700,51.0,,,Unmarried,Female,<=50K
271-27-1271,27.0,10th,,Unmarried,,<=50K
744-74-4744,43.0,11th,Married-civ-spouse,Husband,Male,<=50K
719-71-9719,,10th,Married-civ-spouse,Husband,,<=50K
314-31-4314,,Bachelors,Married-civ-spouse,,,<=50K
459-45-9459,,HS-grad,Married-civ-spouse,Husband,Male,
526-52-6526,,HS-grad,,Husband,,<=50K
282-28-2282,48.0,,Divorced,,,>50K
168-16-8168,41.0,Masters,,,Male,
656-65-6656,22.0,Bachelors,Divorced,Unmarried,Female,<=50K
654-65-4654,30.0,,,Unmarried,,<=50K
517-51-7517,25.0,HS-grad,Never-married,Not-in-family,,<=50K
808-80-8808,61.0,10th,Married-civ-spouse,,Male,<=50K
951-95-1951,,HS-grad,Married-civ-spouse,,,
973-97-3973,46.0,1st-4th,Separated,Not-in-family,,>50K
518-51-8518,48.0,11th,Married-civ-spouse,Husband,Male,<=50K
481-48-1481,,Bachelors,Never-married,Not-in-family,Male,<=50K
811-81-1811,29.0,,Never-married,Unmarried,Male,
